id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isGoal,isShot,cardType,blockedX,blockedY,relatedEventId,relatedPlayerId
2647280223.0,110,11,15.0,13,30.1,63.4,11,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '20.5'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '29.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '33.3'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.67'}]","[91, 117, 30, 35, 38, 215, 218]",True,334087.0,29.3,33.3,,,,,,,,,
2647280329.0,111,11,22.0,13,34.5,26.0,11,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '39.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '6.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.58'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '20.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 36, 38, 216, 218]",True,361822.0,39.0,20.1,,,,,,,,,
2647280467.0,112,11,24.0,13,39.0,20.1,11,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.52'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '10.1'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '28.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '31.2'}]","[91, 117, 30, 35, 37, 215, 218]",True,322036.0,31.2,28.8,,,,,,,,,
2647280731.0,113,11,27.0,13,33.3,33.8,11,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '32.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '18.7'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.62'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '61.2'}]","[91, 117, 30, 35, 37, 215, 218]",True,361822.0,32.5,61.2,,,,,,,,,
2647280845.0,114,11,33.0,13,35.6,62.8,11,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '25.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.77'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '25.6'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '37.0'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 117, 30, 36, 38, 216, 218]",True,334087.0,37.0,25.6,,,,,,,,,
2647280957.0,115,11,36.0,13,36.8,29.5,11,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.85'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '53.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '32.4'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '16.6'}]","[91, 117, 30, 35, 37, 215, 218]",True,361822.0,32.4,53.0,,,,,,,,,
2647281059.0,116,11,38.0,13,31.5,45.0,11,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '34.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.93'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '22.6'}]","[91, 117, 30, 36, 38, 216, 218]",True,334087.0,34.7,22.6,,,,,,,,,
2647281247.0,117,11,41.0,13,33.4,18.5,11,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '2.8'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.65'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '47.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '18.0'}]","[91, 117, 30, 36, 38, 216, 218]",True,361822.0,47.2,2.8,,,,,,,,,
2647281285.0,92,11,44.0,184,44.2,95.6,11,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 45, 'displayName': 'Challenge'}","{'value': 0, 'displayName': 'Unsuccessful'}","[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '118'}, {'type': {'value': 285, 'displayName': 'Defensive'}}]",[55],False,444751.0,,,,,,,,,,,
2647281347.0,118,11,44.0,13,55.8,4.4,11,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 3, 'displayName': 'TakeOn'}","{'value': 1, 'displayName': 'Successful'}","[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '92'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 286, 'displayName': 'Offensive'}}]","[91, 54]",True,367185.0,,,,,,,,,,,
