match_id,date,home_team,away_team,home_team_id,away_team_id,home_team_elo,away_team_elo
1640772,2022-10-10,Forest,Aston Villa,174,24,1587.89587402,1723.27600098
1640773,2022-10-09,West Ham,Fulham,29,170,1768.62194824,1655.40283203
1640774,2022-10-16,Aston Villa,Chelsea,24,15,1727.11108398,1900.34411621
1640775,2022-10-14,Brentford,Brighton,189,211,1717.5748291,1788.77758789
1640776,2022-10-15,Fulham,Bournemouth,170,183,1655.79602051,1660.484375
1640777,2022-10-16,Leeds,Arsenal,19,13,1708.69995117,1907.52258301
1640778,2022-10-15,Leicester,Crystal Palace,14,162,1731.22949219,1760.1697998
1640779,2022-10-16,Liverpool,Man City,26,167,1988.65576172,2041.52941895
1640780,2022-10-16,Man United,Newcastle,32,23,1823.83532715,1787.81567383
1640781,2022-10-16,Southampton,West Ham,18,29,1666.2487793,1782.73498535
1640782,2022-10-15,Tottenham,Everton,30,31,1885.36682129,1711.12438965
1640783,2022-10-15,Wolves,Forest,161,174,1702.5189209,1596.2175293
1640784,2023-02-15,Arsenal,Man City,13,167,1927.37329102,2017.36315918
1640785,2022-10-19,Bournemouth,Southampton,183,18,1662.01916504,1667.9342041
1640786,2022-10-19,Brentford,Chelsea,189,15,1731.22619629,1907.61474609
1640787,2022-10-18,Brighton,Forest,211,174,1778.56738281,1591.953125
1640788,2022-10-20,Fulham,Aston Villa,170,24,1654.26123047,1719.8404541
1640789,2022-10-20,Leicester,Leeds,14,19,1730.38256836,1704.22680664
1640790,2022-10-18,Crystal Palace,Wolves,162,161,1761.01672363,1706.7833252
1640791,2022-10-19,Newcastle,Everton,23,31,1790.44067383,1706.94958496
1640792,2022-10-19,Liverpool,West Ham,26,29,1996.48010254,1781.04956055
1640793,2022-10-19,Man United,Tottenham,32,30,1821.21032715,1889.54162598
1640794,2022-10-23,Aston Villa,Brentford,24,189,1706.41870117,1735.49841309
1640795,2022-10-22,Chelsea,Man United,15,32,1905.08862305,1833.87561035
1640796,2022-10-22,Everton,Crystal Palace,31,162,1703.07727051,1767.35095215
1640797,2022-10-23,Leeds,Fulham,19,170,1696.98681641,1669.42907715
1640798,2022-10-22,Man City,Brighton,167,211,2034.578125,1773.40686035
1640799,2022-10-22,Forest,Liverpool,174,26,1598.85961914,1999.78601074
1640800,2022-10-23,Southampton,Arsenal,18,13,1678.01123047,1915.73962402
1640801,2022-10-23,Tottenham,Newcastle,30,23,1878.62243652,1796.05908203
1640802,2022-10-24,West Ham,Bournemouth,29,183,1779.48974609,1653.68811035
1640803,2022-10-23,Wolves,Leicester,161,14,1702.19519043,1739.36865234
1640804,2022-10-30,Arsenal,Forest,13,174,1893.12109375,1612.39624023
1640805,2022-10-29,Bournemouth,Tottenham,183,30,1646.27392578,1860.0690918
1640806,2022-10-29,Brentford,Wolves,189,161,1718.95898438,1682.75585938
1640807,2022-10-29,Brighton,Chelsea,211,15,1768.66308594,1905.17419434
1640808,2022-10-29,Crystal Palace,Southampton,162,18,1750.90075684,1680.69238281
1640809,2022-10-29,Fulham,Everton,170,31,1677.45446777,1715.40710449
1640810,2022-10-29,Leicester,Man City,14,167,1754.68774414,2030.44335938
1640811,2022-10-29,Liverpool,Leeds,26,19,1991.61767578,1684.84118652
1640812,2022-10-30,Man United,West Ham,32,29,1837.20263672,1784.21569824
1640813,2022-10-29,Newcastle,Aston Villa,23,24,1805.71484375,1718.83789062
1640814,2022-11-06,Aston Villa,Man United,24,32,1718.13708496,1858.26428223
1640815,2022-11-06,Chelsea,Arsenal,15,13,1897.92480469,1905.82104492
1640816,2022-11-05,Everton,Leicester,31,14,1724.36621094,1759.95629883
1640817,2022-11-05,Leeds,Bournemouth,19,183,1708.80419922,1650.30419922
1640818,2022-11-05,Man City,Fulham,167,170,2043.86889648,1685.14050293
1640819,2022-11-05,Forest,Brentford,174,189,1616.93554688,1724.57861328
1640820,2022-11-06,Southampton,Newcastle,18,23,1684.13586426,1823.06079102
1640821,2022-11-06,Tottenham,Liverpool,30,26,1878.52819824,1990.88256836
1640822,2022-11-06,West Ham,Crystal Palace,29,162,1790.5135498,1764.10253906
1640823,2022-11-05,Wolves,Brighton,161,211,1693.78137207,1794.67443848
1640824,2022-11-12,Bournemouth,Everton,183,31,1645.14819336,1712.2121582
1640825,2022-11-13,Brighton,Aston Villa,211,24,1801.82446289,1732.72424316
1640826,2022-11-13,Fulham,Man United,170,32,1684.12512207,1843.67700195
1640827,2022-11-12,Liverpool,Southampton,26,18,1997.29284668,1674.10180664
1640828,2022-11-12,Man City,Brentford,167,189,2044.88427734,1723.14575195
1640829,2022-11-12,Newcastle,Chelsea,23,15,1833.09472656,1888.71057129
1640830,2022-11-12,Forest,Crystal Palace,174,162,1618.3684082,1774.20629883
1640831,2022-11-12,Tottenham,Leeds,30,19,1872.11791992,1713.96020508
1640832,2022-11-12,West Ham,Leicester,29,14,1780.40979004,1772.11035156
1640833,2022-11-12,Wolves,Arsenal,161,13,1686.63122559,1915.03540039
1640834,2022-12-26,Arsenal,West Ham,13,29,1920.58532715,1767.13537598
1640835,2022-12-26,Aston Villa,Liverpool,24,26,1743.84997559,1999.21679688
1640836,2022-12-26,Brentford,Tottenham,189,30,1738.85266113,1875.38684082
1640837,2022-12-27,Chelsea,Bournemouth,15,183,1880.48828125,1659.93737793
1640838,2022-12-26,Crystal Palace,Fulham,162,170,1763.27087402,1678.95336914
1640839,2022-12-26,Everton,Wolves,31,161,1697.42297363,1681.08129883
1640840,2022-12-28,Leeds,Man City,19,167,1710.69128418,2029.17749023
1640841,2022-12-26,Leicester,Newcastle,14,23,1785.38476562,1841.3170166
1640842,2022-12-27,Man United,Forest,32,174,1848.84887695,1629.30383301
1640843,2022-12-26,Southampton,Brighton,18,211,1672.17797852,1790.69885254
1640844,2022-12-31,Bournemouth,Crystal Palace,183,162,1656.27270508,1743.77514648
1640845,2022-12-31,Brighton,Arsenal,211,13,1799.28674316,1925.63586426
1640846,2022-12-31,Fulham,Southampton,170,18,1698.44909668,1663.59008789
1640847,2022-12-30,Liverpool,Leicester,26,14,2003.80102539,1772.10388184
1640848,2022-12-31,Man City,Everton,167,31,2032.31274414,1687.70727539
1640849,2022-12-31,Newcastle,Leeds,23,19,1854.59790039,1707.5559082
